,data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
55598,7898293,840,USA27805,27805,07 April 2021,2021,1,Strategic developments,Other,Police Forces of the United States (2021-),1,Civilians (United States),African American Group (United States),7,17,North America,United States,California,San Mateo,Daly City,37.6881,-122.4715,1,Crowd Counting Consortium; San Francisco Examiner,Other-Subnational,"Other: On 7 April 2021, police fatally shot Roger Allen in Daly City (California) after allegedly seeing a fake gun in Allen's vehicle. Officers had approached Allen's truck to offer help and a physical altercation allegedly ensued. Demonstrations against this event occurred the following week.",1,1618952549,USA
57107,8065463,840,USA27804,27804,05 April 2021,2021,1,Strategic developments,Other,Police Forces of the United States (2021-),1,Civilians (United States),Pacific Islander Group (United States),7,17,North America,United States,Hawaii,Honolulu,Honolulu,21.3069,-157.8583,1,PBS; Washington Post - Police Shooting Data; Honolulu Civil Beat,Subnational-National,"Other: On 5 April 2021, a 16-year-old Micronesian boy, Iremamber Sykap, crashed his car, was hospitalized, and later died in Honolulu (Hawaii) after police pursued him in a car chase and allegedly shot him in the back of the head. Five days later, demonstrators rallied to protest his death.",1,1623185145,USA
57761,7898601,840,USA27813,27813,04 April 2021,2021,1,Strategic developments,Other,Police Forces of the United States (2021-),1,Civilians (United States),African American Group (United States),7,17,North America,United States,Alabama,Jefferson,Birmingham,33.5207,-86.8025,1,Alabama Media Group,Subnational,"Other: On 4 April 2021, Desmon Ray Jr., a 28-year-old Black man, was fatally shot by police in Birmingham (Alabama) after a short car chase ended in a crash. He reportedly exited the vehicle brandishing a weapon before he was killed. The cause of the car chase was reportedly a police response to a 3rd party call about a domestic violence incident in the vehicle. Protests occurred in response to the incident.",1,1618952549,USA
59034,7803309,840,USA27148,27148,02 April 2021,2021,1,Battles,Armed clash,Sole Perpetrator (United States),3,Police Forces of the United States (2021-) Capitol Police,,1,13,North America,United States,District of Columbia,District of Columbia,Washington DC,38.9171,-77.0003,1,USA Today; WJZ13; Fox5 (Washington D.C.),Subnational-National,"On 2 April 2021, a man rammed his car into two United States Capitol Police officers and then continued ramming into a security barrier on Constitution Avenue near the US Capitol Building in Washington DC (District of Columbia) after which he exited the car with a knife and lunged 'aggressively' toward more USCP officers and was shot at in response. The US Capitol Building was locked down immediately following the incident. One officer was killed in the ramming, Officer William Evans, and another unidentified officer remains in the hospital. The motivation of the perpetrator, a Noah Green from Indiana, is still unknown and he has passed away after being shot by USCP officers.",2,1617744380,USA
61686,7898270,840,USA27180,27180,29 March 2021,2021,1,Violence against civilians,Attack,Police Forces of the United States (2021-),1,Civilians (United States),Latinx Group (United States),7,17,North America,United States,Illinois,Cook,Chicago,41.85,-87.6501,1,USA Today; Twitter; Washington Post - Police Shooting Data,New media-National,"On 29 March 2021, a Chicago police officer shot and killed a 13-year-old Latino boy, Adam Toledo, in the Little Village neighborhood in Chicago (Illinois). Around 2:30 a.m., police responded to reports of gunfire. At the scene, officers observed two males fleeing into a nearby alley and chased them. An officer following Toledo yelled for him to put his hands up, after which Toledo appeared to throw a gun behind a fence and turned to face the police officer with his hands up. The officer then shot Toledo in the chest. Another man, a 21-year-old Ruben Roman Jr., was arrested for resisting arrest. This incident caused subsequent demonstrations demanding justice for Adam Toledo.",1,1618952549,USA
63595,7803398,840,USA27278,27278,26 March 2021,2021,1,Strategic developments,Other,Police Forces of the United States (2021-),1,Civilians (United States),African American Group (United States),7,17,North America,United States,Virginia,Virginia Beach,Virginia Beach,36.8529,-75.97800000000001,1,Washington Post; NYT,National-International,"Other: On 26 March 2021, police fatally shot Donovan Lynch, a Black man, in Virginia Beach (Virginia) during a chaotic night of shootings in the city due to police alleging Lynch was brandishing a handgun. Police were wearing bodycams but they had not been activated. It is not yet clear whether Lynch was armed. This event has caused multiple protests from the Black Lives Matter movement calling for justice.",1,1617744380,USA
67268,7789704,840,USA26907,26907,22 March 2021,2021,1,Violence against civilians,Attack,Sole Perpetrator (United States),3,Civilians (United States),Labour Group (United States); Police Forces of the United States (2021-),7,37,North America,United States,Colorado,Boulder,Boulder,40.0149,-105.27,1,Colorado Public Radio; USA Today; Colorado Sun,Subnational-National,"On 22 March 2021, Ahmad Al Aliwi Alissa shot and killed 10 people in a grocery store in Boulder (Colorado), including a police officer and store employees. Around 2:30 p.m., the shooter walked in and opened fire inside the grocery store for 58 minutes. He was arrested at the scene and charged with 10 counts of first-degree murder. Investigation is ongoing and a motive for the shooting has not yet been made clear.",10,1617140132,USA
72631,8004717,840,USA26406,26406,16 March 2021,2021,1,Violence against civilians,Attack,Sole Perpetrator (United States),3,Civilians (United States),Women (United States); Asian American Group (United States); Labour Group (United States),7,37,North America,United States,Georgia,Fulton,Atlanta,33.7559,-84.3898,1,NPR; New York Times; Washington Post,National,"On 16 March 2021, during a killing spree involving a total of 8 killings at three separate spa locations in the wider Atlanta area, Robert Aaron Long, a white man, fatally shot four people - all of whom were Asian American women - at two spas in Atlanta (Georgia). The attacker blamed his sex addiction for the incident, with some reports noting that 'spas he targeted were reported sites of law enforcement prostitution stings and reviewed online as places where sex work occurred.' Long has been charged with federal hate crime.",4,1621980620,USA
72635,8004718,840,USA26407,26407,16 March 2021,2021,1,Violence against civilians,Attack,Sole Perpetrator (United States),3,Civilians (United States),Women (United States); Asian American Group (United States); Labour Group (United States),7,37,North America,United States,Georgia,Cobb,Acworth,34.0412,-84.9883,1,New York Times; NPR; Washington Post,National,"On 16 March 2021, during a killing spree involving a total of 8 killings at three separate spa locations in the wider Atlanta area, Robert Aaron Long, a white man, fatally shot three women and a man - two of the women being Asian American - at a spa in Acworth (Georgia). A Hispanic man who owned the parlor was severely injured as well. The attacker blamed his sex addiction for the incident, with some reports noting that 'spas he targeted were reported sites of law enforcement prostitution stings and reviewed online as places where sex work occurred.' Long has been charged with federal hate crime.",4,1621980620,USA
74495,7766654,840,USA26237,26237,14 March 2021,2021,1,Strategic developments,Other,Police Forces of the United States (2021-) Prison Guards,1,Civilians (United States),Prisoners (United States); African American Group (United States),7,17,North America,United States,Texas,Collin,McKinney,33.1976,-96.6153,1,Fox4 (Dallas); Crowd Counting Consortium; WFAA-TV,Other-Subnational,"Other: On 14 March 2021, detention officers tried to restrain Marvin Scott III, a Black man, inside Collin County Jail in McKinney (Texas) which then led to Scott's death. Scott had been arrested for marijuana possession and faced mental health issues according to his family. After allegedly exhibiting strange behavior while in custody, detention officers tried to restrain Scott and ultimately placed him on a restraint bed, which is when Scott became unresponsive. Scott was pronounced dead at a hospital. Seven detention officers have been placed on leave and Texas Rangers are conducting an investigation into the circumstances surrounding Scott's death. This incident caused subsequent demonstrations.",1,1616538049,USA
77399,7803630,840,USA27274,27274,11 March 2021,2021,1,Strategic developments,Other,Police Forces of the United States (2021-),1,Civilians (United States),African American Group (United States),7,17,North America,United States,California,Contra Costa,Danville,37.8216,-121.99799999999999,1,KTVU Fox2,Subnational,"Other: On 11 March 2021, police officers fatally shot Tyrell Wilson, a Black man, in Danville (California) after Wilson allegedly threw rocks at cars from an overpass, drew a knife, and advanced on police. A demonstration against Wilson's death occurred at the end of the month.",1,1617744381,USA
87994,7740235,840,USA25651,25651,26 February 2021,2021,1,Violence against civilians,Attack,Police Forces of the United States (2021-),1,Civilians (United States),,7,17,North America,United States,Alabama,Walker,Empire,33.8084,-87.0105,1,Alabama Media Group,Subnational,"On 26 February 2021, a police officer fatally shot Frederick Height II, a 27-year-old white man with a history of mental illness, in Empire (Alabama) when responding to a call about a mental health check. The officer reportedly attempted to physically restrain the victim, resulting in a scuffle during which the officer shot and killed the victim. The victim was not armed.",1,1615330707,USA
93431,7923653,840,USA28244,28244,20 February 2021,2021,1,Strategic developments,Other,Police Forces of the United States (2021-),1,Civilians (United States),,7,17,North America,United States,New Mexico,Bernalillo,Albuquerque,35.0844,-106.6511,1,KOB4,Subnational,"Other: On 20 February 2021, a police officer fatally shot Claude Trevino in Albuquerque (New Mexico) after Trevino threw a knife at officers. A demonstration against the shooting occurred in April.",1,1619558727,USA
96487,7726768,840,USA25176,25176,16 February 2021,2021,1,Strategic developments,Other,Police Forces of the United States (2021-),1,Civilians (United States),,7,17,North America,United States,Washington,King,Seattle,47.6056,-122.333,1,KUOW94.9; KOMO4,Subnational,"Other: On 16 February 2021, Seattle police officers shot and killed a white man armed with a knife in Seattle (Washington). The man appeared to be unstable and said 'Do it. Do it.' and 'Please kill me.' Police initially used a 40 mm launcher, which is a 'less-lethal' weapon, to attempt to subdue the man, but this proved ineffective. Police shot the man four times as he approached them with the knife. He died at the scene. This sparked a subsequent demonstration against police brutality in Seattle the next day.",1,1614725570,USA
97587,7727128,840,USA25301,25301,14 February 2021,2021,1,Strategic developments,Other,Police Forces of the United States (2021-),1,Civilians (United States),,7,17,North America,United States,Kentucky,Whitley,Corbin,36.9482,-84.0964,1,Your Mountain Television WYMT,Subnational,"Other: On 14 February 2021, an off-duty Corbin Police officer shot and killed Phillip N. Davenport in Corbin (Kentucky). According to investigators, the police officer was contacted by his neighbor about a prowler. The officer went outside, where he was confronted by Davenport. The confrontation escalated, which is when the officer pulled out his gun and shot and killed Davenport. An investigation was ongoing. This caused at least one subsequent demonstration in the area.",1,1614725570,USA
101071,7766646,840,USA26226,26226,10 February 2021,2021,1,Strategic developments,Other,Police Forces of the United States (2021-),1,Civilians (United States),African American Group (United States),7,17,North America,United States,Texas,Travis,Austin,30.2747,-97.7405,1,Crowd Counting Consortium; KXAN,Other-Subnational,"Other: On 10 February 2021, police shot and killed Jordan Walton, a Black man, in Austin (Texas) while pursuing Walton after he had crashed his car into a home and then broke into a neighboring house. According to police, Walton fired a gun when officers tried to enter the home, allegedly then using a child to shield himself from gunfire, prompting a police officer to shoot and kill Walton. However, an activist group called 400+1 claims that Austin police have not shared the whole story and that Walton's parents were in communication with officers leading up to the shooting. According to the group, Walton's parents also told police that he suffered from mental health issues. Walton's death led to an encampment of at least 19 days in East Austin to protest the police department's actions leading up to Walton's death, and to demand autonomy for East Austin from the Austin Police Department.",1,1616538049,USA
102694,7695435,840,USA24894,24894,08 February 2021,2021,1,Violence against civilians,Attack,Police Forces of the United States (2021-),1,Civilians (United States),,7,17,North America,United States,Idaho,Bonneville,Idaho Falls,43.4666,-112.0341,1,KPVI,Subnational,"On 8 February 2021, a Bonneville County Sheriff's Deputy attempted to make a traffic stop in Idaho Falls (Idaho), at which time the occupant of the vehicle in question fled on foot into a nearby residential neighborhood. While additional police were searching the area for the man, they received information from neighbors and another occupant of the vehicle about his probable whereabouts within the neighborhood. When officers searched this area, they entered a backyard of a private residence and found a different man holding a firearm. Police reportedly ordered this man to drop his weapon, then shot and killed him. It was unclear if he refused their order. The man that police were originally pursuing was later arrested nearby.",1,1613516909,USA
103763,7726803,840,USA25287,25287,07 February 2021,2021,1,Strategic developments,Other,Police Forces of the United States (2021-),1,Civilians (United States),African American Group (United States),7,17,North America,United States,California,Los Angeles,Long Beach,33.7699,-118.2031,1,Long Beach Post; Crowd Counting Consortium,Other-Subnational,"Other: On 7 February 2021, police officers fatally shot Anthony Loia in Long Beach (California) after he allegedly pointed a gun at people in passing cars and refused to drop the weapon when prompted by officers. Officers fired five shots, causing Loia to die at the scene. A subsequent demonstration occurred later in February.",1,1614725570,USA
106329,7751826,840,USA25902,25902,04 February 2021,2021,1,Strategic developments,Other,Police Forces of the United States (2021-),1,Civilians (United States),African American Group (United States),7,17,North America,United States,Alabama,Mobile,Mobile,30.6944,-88.0431,1,Fox10 (Mobile),Subnational,"Other: On 4 February 2021, police officers fatally shot Treyh Webster, a Black 18-year-old robbery suspect, while conducting a search warrant for 'intimidating a witness' in Mobile (Alabama) after he came out of his room shooting at the officers. The incident led to a protest in March.",1,1615930392,USA
107654,7667751,840,USA24532,24532,02 February 2021,2021,1,Strategic developments,Other,Police Forces of the United States (2021-),1,Civilians (United States),African American Group (United States),7,17,North America,United States,Mississippi,Lauderdale,Meridian,32.3643,-88.7037,1,WLBT3,Subnational,"Other: On 2 February 2021, three police officers fatally shot a Black burglary suspect in Meridian (Mississippi) after he 'charged at officers with a knife'. The incident led to a protest later in the week.",1,1612913872,USA
115993,7727011,840,USA25284,25284,22 January 2021,2021,1,Violence against civilians,Attack,Police Forces of the United States (2021-),1,Civilians (United States),Latinx Group (United States),7,17,North America,United States,California,Riverside,Indio,33.7207,-116.2168,1,Desert Sun,Subnational,"On 22 January 2021, Jose Albert Lizarraga Garcia died outside the Cardenas Market in Indio (California) while being detained by police. The two officers who responded to calls about Lizarraga Garcia 'behaving strangely' appeared to recognize Lizarraga Garcia upon making contact. According to bodycam footage, the officers approached Lizarraga Garcia and he attempted to walk away from them, leading to a chase. Officers pinned Lizarraga Garcia to the ground as he pled for them to stop. One officer asked if he could breathe to which Lizarraga Garcia responded 'no.' An officer then responded with 'yes you can' as they continued to put handcuffs and a spit guard on him. Lizarraga Garcia was allegedly unresponsive by the time they placed a cushion under his head. Officers began chest compressions after moving him to a vehicle but Lizarraga Garcia did not revive. The autopsy results have yet to be released.",1,1614725570,USA
116619,7615607,840,USA22100,22100,21 January 2021,2021,1,Violence against civilians,Attack,Police Forces of the United States (2021-),1,Civilians (United States),,7,17,North America,United States,California,Santa Clara,San Jose,37.334,-121.891,1,ABC7 (San Francisco),Subnational,"On 21 January 2021, police fatally shot unarmed David Lee Tovar in San Jose (California). Officers pursued Tovar to question him for homicide at which point Tovar ran up an apartment complex staircase while police remained on the ground floor. Police allege that Tovar refused to show his hands and officers believed Tovar was reaching for a handgun in his waistband. Officers on the ground floor fatally shot Tovar while he was on the second. Tovar died at the hospital. Police later confirmed that the object Tovar reached for was either a cellphone or a screwdriver. A local organizer who later visited the site of the shooting claimed that at least eight bullet holes were visible at the site.",1,1612546516,USA
119515,7615360,840,USA21853,21853,17 January 2021,2021,1,Strategic developments,Other,Police Forces of the United States (2017-2021) Federal Bureau of Investigation,1,Civilians (United States),African American Group (United States),7,17,North America,United States,Oklahoma,Comanche,Lawton,34.6042,-98.3955,1,KSWO 7 News,Subnational,"Other: On 17 January 2021, Zonterius Johnson, a Black man, was shot and killed by Lawton police officers in Lawton (Oklahoma) during a bar check at a club called the Lavish Lounge. According to officers, while they were in the club, shots were fired from outside the club, prompting officers to exit the club and initiate a foot chase that lasted several blocks. At some point, officers shot Johnson, who was transported to the hospital, where he died. A handgun was recovered at the scene, but it was unclear if it was Johnson's. The Oklahoma State Bureau of Investigations is currently investigating the incident. Following the incident demonstrations demanding justice for Johnson were held.",1,1612546515,USA
119792,7615701,840,USA22194,22194,17 January 2021,2021,1,Violence against civilians,Attack,Police Forces of the United States (2017-2021) Prison Guards,1,Civilians (United States),Prisoners (United States); African American Group (United States),7,17,North America,United States,Florida,Broward,Fort Lauderdale,26.1223,-80.1378,1,NBC6 (Miami),Subnational,"On 17 January 2021, police officers used 'a significant level' of physical force as well as pepper spray and a stun gun while attempting to restrain Kevin Lavira Desir, a Black inmate who was suffering from a mental health crisis while in custody at the Broward County Jail in Fort Lauderdale (Florida). Desir 'lost consciousness and became non-responsive' following the altercation and died from brain damage a little over a week later.",1,1612546516,USA
121333,7615714,840,USA22207,22207,15 January 2021,2021,1,Strategic developments,Other,Police Forces of the United States (2017-2021),1,Civilians (United States),African American Group (United States),7,17,North America,United States,Mississippi,Harrison,Biloxi,30.396,-88.8853,1,WLOX ABC,Subnational,"Other: On 15 January 2021, a police officer fatally shot Reginald Johnson, a Black man, outside of the Harrison County Courthouse in Biloxi (Mississippi) after he 'advanced on the officer' with a knife. This event prompted a protest calling for a release of body camera footage.",1,1612546516,USA
122794,7667682,840,USA24572,24572,13 January 2021,2021,1,Strategic developments,Other,Police Forces of the United States (2017-2021),1,Civilians (United States),African American Group (United States),7,17,North America,United States,Delaware,New Castle,Wilmington,39.7444,-75.5516,1,News Journal (Wilmington-DE),Subnational,"Other: On 13 January 2021, police shot and killed Lymond Moses, a Black man in Wilmington (Delaware) after investigating a 'suspicious vehicle.' The car drove down a dead-end road, turned around, and began to drive toward the officers when they fired shots and killed the driver, Moses. This event has prompted protests calling for justice for Moses.",1,1612913872,USA
